HYDROID,LONGITUDE,LATITUDE,station type
200057184.0,-88.45111,43.765568,fewer than 10 measurements
200085293.0,-88.46037,44.244175,less than 1 year
200044150.0,-88.118286,43.48396,fewer than 10 measurements
200059178.0,-87.81264499999999,43.805107,fewer than 10 measurements
200065322.0,-90.527596,43.968193,less than 1 year
200087592.0,-88.335365,44.262398,less than 1 year
200090787.0,-88.170586,44.30519,less than 1 year
200085659.0,-88.46158,44.2581,less than 1 year
200026710.0,-88.521433,43.0951338,fewer than 10 measurements
200026973.0,-88.5110948,43.1049855,fewer than 10 measurements
200036140.0,-88.4294062,43.3292265,fewer than 10 measurements
200027295.0,-87.90894,43.099957,less than 1 year
200111331.0,-88.10285,44.544773,less than 1 year
200111873.0,-88.06470999999999,44.565834,less than 1 year
200094086.0,-88.11203,44.335457,less than 1 year
200176088.0,-92.6911726,45.6576672,fewer than 10 measurements
200178543.0,-92.6797689,45.7295464,fewer than 10 measurements
200177826.0,-92.632453,45.7152376,fewer than 10 measurements
200177457.0,-92.6694902,45.7066004,fewer than 10 measurements
200096467.0,-89.4731697,44.3674307,less than 1 year
200059571.0,-89.64313,43.837902,less than 1 year
200058728.0,-89.4733554,43.8141561,less than 1 year
200060657.0,-89.808662,43.861723600000005,less than 1 year
200065647.0,-89.51997,43.98721,less than 1 year
200208473.0,-89.59778,44.118156,less than 1 year
200083250.0,-89.71866,44.21998,less than 1 year
200098277.0,-89.3185191,44.3926264,less than 1 year
200101348.0,-89.36571590000001,44.4342384,less than 1 year
200104299.0,-89.508095,44.470734,less than 1 year
200106066.0,-89.3195475,44.4944335,less than 1 year
200098641.0,-89.0549642,44.395363,less than 1 year
200114873.0,-89.30443000000001,44.62774,less than 1 year
200119411.0,-89.2643296,44.6907566,less than 1 year
200118245.0,-89.3305662,44.66048370000001,less than 1 year
200165200.0,-91.643565,45.4563392,fewer than 10 measurements
200163172.0,-91.7941655,45.4166698,fewer than 10 measurements
200143548.0,-91.8704299,45.0566768,fewer than 10 measurements
200167911.0,-90.8784867,45.5237982,fewer than 10 measurements
200166755.0,-90.89451,45.502907,fewer than 10 measurements
200099020.0,-88.32505,44.386642,fewer than 10 measurements
200096826.0,-88.58466999999999,44.37116,fewer than 10 measurements
200090564.0,-88.1901638,44.3018316,fewer than 10 measurements
200013425.0,-89.49625,42.813545,fewer than 10 measurements
200015741.0,-89.17956679999999,42.8608521,fewer than 10 measurements
200017497.0,-89.29823950000001,42.8932734,fewer than 10 measurements
200027002.0,-89.68179,43.111908,fewer than 10 measurements
200029742.0,-89.75891999999999,43.18258,fewer than 10 measurements
200029516.0,-89.768745,43.175617,fewer than 10 measurements
200117459.0,-91.8019839,44.6450886,fewer than 10 measurements
200101238.0,-89.18693499999999,44.43277,fewer than 10 measurements
200080817.0,-89.19524,44.182674,less than 1 year
200082123.0,-89.720535,44.202858,less than 1 year
200211845.0,-89.76541,44.33429,less than 1 year
200083314.0,-89.18526,44.213806,less than 1 year
200105255.0,-89.21451,44.47201,fewer than 10 measurements
200082244.0,-89.72063,44.20396,less than 1 year
200084481.0,-89.67782,44.228664,less than 1 year
200210268.0,-89.6718215,44.2611923,fewer than 10 measurements
200082785.0,-89.7086579,44.2134087,fewer than 10 measurements
200067277.0,-89.43581,44.004593,less than 1 year
200210990.0,-89.79677,44.365585,less than 1 year
200108195.0,-89.224106,44.5218,fewer than 10 measurements
200113224.0,-89.26693279999999,44.5977352,less than 1 year
200212071.0,-89.3755787,44.5675992,less than 1 year
200211918.0,-88.32887,42.85642,less than 1 year
200101325.0,-87.79857,44.4148,fewer than 10 measurements
200018954.0,-90.8043439,42.9137864,fewer than 10 measurements
200167147.0,-92.1470828,45.4890369,fewer than 10 measurements
200167967.0,-92.1531555,45.5033594,fewer than 10 measurements
200087607.0,-88.2981592,44.2700989,less than 1 year
200025684.0,-90.4130389,43.0786984,less than 1 year
200211061.0,-88.29274000000001,42.933693,less than 1 year
200022501.0,-88.9612054,43.0007029,fewer than 10 measurements
200049343.0,-88.70278,43.600063,fewer than 10 measurements
200174525.0,-90.97965,45.657722,fewer than 10 measurements
200182755.0,-90.426502,45.8581755,fewer than 10 measurements
200165526.0,-90.5034668,45.463581700000006,fewer than 10 measurements
200176244.0,-92.6556826,45.6724431,fewer than 10 measurements
